Year,Month,Month_Year,IndustryLvl1,IndustryLvl2,IndustryLvl3,IndustryLvl4,AFF2017,Region,Local_Government_District,Age,Age_Group,FocusArea1,FocusArea2,QuadBike,No_of_Fatalities
2011,8,01AUG2011,Arts and Recreation Services,Sport and Recreation Activities,Amusement and Other Recreation Activities,Amusement and Other Recreation Activities n.e.c.,Arts and Recreation Services,Canterbury,Selwyn,29,25-34,Adventure Activities,Snow sports,,1
2011,8,01AUG2011,Construction,Heavy and Civil Engineering Construction,Heavy and Civil Engineering Construction,Road and Bridge Construction,Construction,Bay of Plenty,Tauranga,49,45-54,Ports & Marinas,Vehicles & Machinery,,1
2011,8,01AUG2011,Manufacturing,Furniture and Other Manufacturing,Other Manufacturing,Other Manufacturing n.e.c.,Manufacturing,Auckland,Auckland,42,35-44,Manufacturing,Energy Safety,,1
2011,8,01AUG2011,Other Services,Repair and Maintenance,Automotive Repair and Maintenance,Other Automotive Repair and Maintenance,Other Services,Taranaki,New Plymouth,47,45-54,Not a focus area,Falling/Moving Object,,1
2011,8,01AUG2011,Other Services,Repair and Maintenance,Machinery and Equipment Repair and Maintenance,Other Machinery and Equipment Repair and Maintenance,Other Services,Marlborough,Marlborough,51,45-54,Not a focus area,Vehicles & Machinery,,1
2011,9,01SEP2011,"Agriculture, Forestry and Fishing","Agriculture, Forestry and Fishing Support Services",Agriculture and Fishing Support Services,Other Agriculture and Fishing Support Services,"Agriculture, Forestry and Fishing Support Services",Auckland,Rodney,53,45-54,Agriculture,Vehicles & Machinery,Yes,1
2011,9,01SEP2011,"Agriculture, Forestry and Fishing","Agriculture, Forestry and Fishing Support Services",Agriculture and Fishing Support Services,Other Agriculture and Fishing Support Services,"Agriculture, Forestry and Fishing Support Services",Bay of Plenty,Rotorua,2,14 and under,Agriculture,Vehicles & Machinery,,1
2011,9,01SEP2011,"Agriculture, Forestry and Fishing","Agriculture, Forestry and Fishing Support Services",Agriculture and Fishing Support Services,Other Agriculture and Fishing Support Services,"Agriculture, Forestry and Fishing Support Services",Southland,Southland,65,65 and over,Agriculture,Vehicles & Machinery,Yes,1
2011,9,01SEP2011,"Agriculture, Forestry and Fishing","Agriculture, Forestry and Fishing Support Services",Agriculture and Fishing Support Services,Other Agriculture and Fishing Support Services,"Agriculture, Forestry and Fishing Support Services",Waikato,Otorohanga,58,55-64,Agriculture,Vehicles & Machinery,Yes,1
2011,9,01SEP2011,Construction,Construction Services,Land Development and Site Preparation Services,Site Preparation Services,Construction,Auckland,Manukau,24,15-24,Construction,Excavation,,1
2011,9,01SEP2011,Other Services,Repair and Maintenance,Machinery and Equipment Repair and Maintenance,Other Machinery and Equipment Repair and Maintenance,Other Services,Auckland,Manukau,70,65 and over,Not a focus area,Vehicles & Machinery,,1
2011,9,01SEP2011,"Transport, Postal and Warehousing",Road Transport,Road Freight Transport,Road Freight Transport,"Transport, Postal and Warehousing",Canterbury,Christchurch,30,25-34,Not a focus area,Vehicles & Machinery,,1
2011,10,01OCT2011,"Agriculture, Forestry and Fishing","Agriculture, Forestry and Fishing Support Services",Agriculture and Fishing Support Services,Other Agriculture and Fishing Support Services,"Agriculture, Forestry and Fishing Support Services",Waikato,Waitomo,70,65 and over,Agriculture,Vehicles & Machinery,,1
2011,10,01OCT2011,"Agriculture, Forestry and Fishing",Forestry and Logging,Forestry and Logging,Logging,Forestry and Logging,Gisborne,Gisborne,32,25-34,Forestry,Tree Felling,,1
2011,10,01OCT2011,Other Services,Repair and Maintenance,Automotive Repair and Maintenance,Other Automotive Repair and Maintenance,Other Services,Hawke's Bay,Napier,64,55-64,Not a focus area,Energy Safety,,1
2011,10,01OCT2011,"Transport, Postal and Warehousing",Road Transport,Road Freight Transport,Road Freight Transport,"Transport, Postal and Warehousing",Southland,Southland,40,35-44,Agriculture,Vehicles & Machinery,,1
2011,11,01NOV2011,"Agriculture, Forestry and Fishing","Agriculture, Forestry and Fishing Support Services",Agriculture and Fishing Support Services,Other Agriculture and Fishing Support Services,"Agriculture, Forestry and Fishing Support Services",Waikato,Franklin,48,45-54,Agriculture,Vehicles & Machinery,,1
2011,11,01NOV2011,Health Care and Social Assistance,Residential Care Services,Residential Care Services,Other Residential Care Services,Health Care and Social Assistance,Otago,Dunedin,67,65 and over,Not a focus area,Fall from height,,1
2011,11,01NOV2011,Public Administration and Safety,"Public Order, Safety and Regulatory Services",Public Order and Safety Services,Investigation and Security Services,Public Administration and Safety,Auckland,Waitakere,22,15-24,Not a focus area,Other,,1
2011,11,01NOV2011,"Transport, Postal and Warehousing",Road Transport,Road Freight Transport,Road Freight Transport,"Transport, Postal and Warehousing",Southland,Southland,53,45-54,Not a focus area,Falling/Moving Object,,1
2011,12,01DEC2011,Other Services,Repair and Maintenance,Other Transport Equipment Manufacturing,Boatbuilding and Repair Services,Other Services,Auckland,Rodney,44,35-44,Manufacturing,Vehicles & Machinery,,1
2012,1,01JAN2012,"Agriculture, Forestry and Fishing",Agriculture,"Grain, Sheep and Beef Cattle Farming",Sheep-Beef Cattle Farming,Agriculture,Gisborne,Gisborne,73,65 and over,Agriculture,Vehicles & Machinery,Yes,1
2012,1,01JAN2012,"Agriculture, Forestry and Fishing","Agriculture, Forestry and Fishing Support Services",Agriculture and Fishing Support Services,Other Agriculture and Fishing Support Services,"Agriculture, Forestry and Fishing Support Services",Canterbury,Kaikoura,39,35-44,Agriculture,Energy Safety,,1
2012,1,01JAN2012,"Agriculture, Forestry and Fishing","Agriculture, Forestry and Fishing Support Services",Agriculture and Fishing Support Services,Other Agriculture and Fishing Support Services,"Agriculture, Forestry and Fishing Support Services",Waikato,Otorohanga,49,45-54,Agriculture,Tree Felling,,1
2012,1,01JAN2012,Public Administration and Safety,Public Administration,Central Government Administration,Central Government Administration,Public Administration and Safety,Offshore,Offshore,33,25-34,Not a focus area,Bodies of Water,,1
2012,2,01FEB2012,"Agriculture, Forestry and Fishing",Agriculture,Fruit and Tree Nut Growing,Kiwifruit Growing,Agriculture,Bay of Plenty,Tauranga,53,45-54,Agriculture,Vehicles & Machinery,,1
2012,2,01FEB2012,"Agriculture, Forestry and Fishing","Agriculture, Forestry and Fishing Support Services",Agriculture and Fishing Support Services,Other Agriculture and Fishing Support Services,"Agriculture, Forestry and Fishing Support Services",Northland,Kaipara,50,45-54,Agriculture,Vehicles & Machinery,,1
2012,2,01FEB2012,"Agriculture, Forestry and Fishing",Forestry and Logging,Forestry and Logging,Logging,Forestry and Logging,Tasman,Tasman,5,14 and under,Forestry,Falling/Moving Object,,1
2012,2,01FEB2012,Arts and Recreation Services,Sport and Recreation Activities,Amusement and Other Recreation Activities,Amusement and Other Recreation Activities n.e.c.,Arts and Recreation Services,Hawke's Bay,Wairoa,73,65 and over,Adventure Activities,Off-Road Vehicle Driving,,1
2012,2,01FEB2012,Construction,Heavy and Civil Engineering Construction,Heavy and Civil Engineering Construction,Other Heavy and Civil Engineering Construction,Construction,Auckland,Rodney,42,35-44,Construction,Vehicles & Machinery,,1
2012,3,01MAR2012,"Agriculture, Forestry and Fishing","Agriculture, Forestry and Fishing Support Services",Agriculture and Fishing Support Services,Other Agriculture and Fishing Support Services,"Agriculture, Forestry and Fishing Support Services",Manawatu-Whanganui,Palmerston North,62,55-64,Agriculture,Vehicles & Machinery,,1
2012,3,01MAR2012,"Agriculture, Forestry and Fishing","Agriculture, Forestry and Fishing Support Services",Agriculture and Fishing Support Services,Other Agriculture and Fishing Support Services,"Agriculture, Forestry and Fishing Support Services",Otago,Dunedin,70,65 and over,Agriculture,Vehicles & Machinery,,1
2012,3,01MAR2012,"Agriculture, Forestry and Fishing",Forestry and Logging,Forestry and Logging,Logging,Forestry and Logging,Waikato,Taupo,38,35-44,Forestry,Vehicles & Machinery,,1
2012,4,01APR2012,Accommodation and Food Services,Food and Beverage Services,"Cafes, Restaurants and Takeaway Food Services",Cafes and Restaurants,Accommodation and Food Services,Hawke's Bay,Hastings,77,65 and over,Not a focus area,Fall from height,,1
2012,4,01APR2012,"Agriculture, Forestry and Fishing","Agriculture, Forestry and Fishing Support Services",Agriculture and Fishing Support Services,Other Agriculture and Fishing Support Services,"Agriculture, Forestry and Fishing Support Services",Taranaki,South Taranaki,55,55-64,Agriculture,Vehicles & Machinery,,1
2012,4,01APR2012,"Agriculture, Forestry and Fishing",Forestry and Logging,Forestry and Logging,Logging,Forestry and Logging,Manawatu-Whanganui,Whanganui,33,25-34,Forestry,Tree Felling,,1
2012,4,01APR2012,Arts and Recreation Services,Heritage Activities,Parks and Gardens Operations,Zoological and Botanic Gardens Operation,Arts and Recreation Services,Waikato,Franklin,49,45-54,Not a focus area,Animal,,1
2012,4,01APR2012,Construction,Heavy and Civil Engineering Construction,Heavy and Civil Engineering Construction,Road and Bridge Construction,Construction,Nelson,Nelson,58,55-64,Construction,Vehicles & Machinery,,1
2012,6,01JUN2012,"Agriculture, Forestry and Fishing","Agriculture, Forestry and Fishing Support Services",Agriculture and Fishing Support Services,Other Agriculture and Fishing Support Services,"Agriculture, Forestry and Fishing Support Services",Gisborne,Gisborne,71,65 and over,Not a focus area,Tree Felling,,1
2012,6,01JUN2012,"Agriculture, Forestry and Fishing",Forestry and Logging,Forestry and Logging,Logging,Forestry and Logging,Bay of Plenty,Opotiki,49,45-54,Forestry,Tree Felling,,1
2012,6,01JUN2012,"Agriculture, Forestry and Fishing",Forestry and Logging,Forestry and Logging,Logging,Forestry and Logging,Gisborne,Gisborne,44,35-44,Forestry,Breaking Out,,1
2012,7,01JUL2012,Construction,Construction Services,Building Installation Services,Plumbing Services,Construction,Canterbury,Christchurch,54,45-54,Construction,Vehicles & Machinery,,1
2012,7,01JUL2012,Construction,Heavy and Civil Engineering Construction,Heavy and Civil Engineering Construction,Other Heavy and Civil Engineering Construction,Construction,Wellington,Wellington,40,35-44,Construction,Vehicles & Machinery,,1
2012,7,01JUL2012,Manufacturing,Wood Product Manufacturing,Log Sawmilling and Timber Dressing,Timber Resawing and Dressing,Manufacturing,Nelson,Nelson,36,35-44,Manufacturing,Wood Processing,,1
2012,8,01AUG2012,"Agriculture, Forestry and Fishing",Agriculture,"Grain, Sheep and Beef Cattle Farming",Sheep-Beef Cattle Farming,Agriculture,Waikato,Waikato,45,45-54,Agriculture,Vehicles & Machinery,,1
2012,8,01AUG2012,Arts and Recreation Services,Sport and Recreation Activities,Amusement and Other Recreation Activities,Amusement and Other Recreation Activities n.e.c.,Arts and Recreation Services,Taranaki,New Plymouth,17,15-24,Adventure Activities,Mountain Climbing/Mountaineering,,2
2012,8,01AUG2012,Arts and Recreation Services,Sport and Recreation Activities,Amusement and Other Recreation Activities,Amusement and Other Recreation Activities n.e.c.,Arts and Recreation Services,Taranaki,New Plymouth,42,35-44,Adventure Activities,Mountain Climbing/Mountaineering,,1
2012,8,01AUG2012,Mining,Metal Ore Mining,Metal Ore Mining,Gold Ore Mining,Mining,West Coast,Westland,9,14 and under,Extractives,Bodies of Water,,1
2012,9,01SEP2012,"Agriculture, Forestry and Fishing",Agriculture,"Grain, Sheep and Beef Cattle Farming",Sheep-Beef Cattle Farming,Agriculture,Canterbury,Mackenzie,7,14 and under,Agriculture,Vehicles & Machinery,,1
2012,9,01SEP2012,Public Administration and Safety,Defence,Defence,Defence,Public Administration and Safety,Manawatu-Whanganui,Ruapehu,29,25-34,Defence,Bodies of Water,,1
2012,10,01OCT2012,"Agriculture, Forestry and Fishing",Agriculture,Dairy Cattle Farming,Dairy Cattle Farming,Agriculture,Wellington,South Wairarapa,10,14 and under,Agriculture,Vehicles & Machinery,Yes,1
2012,10,01OCT2012,Arts and Recreation Services,Sport and Recreation Activities,Amusement and Other Recreation Activities,Amusement and Other Recreation Activities n.e.c.,Arts and Recreation Services,Auckland,Franklin,38,35-44,Adventure Activities,Vehicles & Machinery,Yes,1
2012,10,01OCT2012,Arts and Recreation Services,Sport and Recreation Activities,Sport and Physical Recreation Activities,Health and Fitness Centres and Gymnasia Operation,Arts and Recreation Services,Northland,Whangarei,77,65 and over,Not a focus area,Sudden Death,,1
2012,10,01OCT2012,Construction,Heavy and Civil Engineering Construction,Heavy and Civil Engineering Construction,Road and Bridge Construction,Construction,Southland,Southland,67,65 and over,Construction,Other,,1
2012,10,01OCT2012,"Electricity, Gas, Water and Waste Services",Electricity Supply,Electricity Transmission,Electricity Transmission,"Electricity, Gas, Water and Waste Services",Southland,Southland,45,45-54,Not a focus area,Energy Safety,,1
2012,11,01NOV2012,Administrative and Support Services,Administrative Services,Employment Services,Labour Supply Services,Administrative and Support Services,Auckland,Waitakere,21,15-24,Not a focus area,"Fire, heat, explosion (non-HSNO)",,1
2012,11,01NOV2012,"Agriculture, Forestry and Fishing","Agriculture, Forestry and Fishing Support Services",Agriculture and Fishing Support Services,Other Agriculture and Fishing Support Services,"Agriculture, Forestry and Fishing Support Services",Hawke's Bay,Central Hawke's Bay,64,55-64,Agriculture,Vehicles & Machinery,Yes,1
2012,11,01NOV2012,"Agriculture, Forestry and Fishing","Agriculture, Forestry and Fishing Support Services",Agriculture and Fishing Support Services,Other Agriculture and Fishing Support Services,"Agriculture, Forestry and Fishing Support Services",Northland,Kaipara,65,65 and over,Agriculture,Vehicles & Machinery,Yes,1
2012,11,01NOV2012,"Agriculture, Forestry and Fishing","Agriculture, Forestry and Fishing Support Services",Agriculture and Fishing Support Services,Other Agriculture and Fishing Support Services,"Agriculture, Forestry and Fishing Support Services",Otago,Central Otago,59,55-64,Agriculture,Vehicles & Machinery,,1
2012,11,01NOV2012,"Agriculture, Forestry and Fishing",Forestry and Logging,Forestry and Logging,Logging,Forestry and Logging,Manawatu-Whanganui,Tararua,24,15-24,Forestry,Tree Felling,,1
2012,11,01NOV2012,Construction,Construction Services,Building Installation Services,Electrical Services,Construction,Canterbury,Ashburton,56,55-64,Construction,Vehicles & Machinery,,1
2012,11,01NOV2012,Manufacturing,Primary Metal and Metal Product Manufacturing,Basic Non-Ferrous Metal Product Manufacturing,"Aluminium Rolling, Drawing, Extruding",Manufacturing,Taranaki,New Plymouth,34,25-34,Manufacturing,Fall from height,,1
2012,11,01NOV2012,"Transport, Postal and Warehousing",Road Transport,Road Freight Transport,Road Freight Transport,"Transport, Postal and Warehousing",Auckland,Manukau,63,55-64,Not a focus area,Vehicles & Machinery,,1
2012,12,01DEC2012,Arts and Recreation Services,Sport and Recreation Activities,Horse and Dog Racing Activities,Other Horse and Dog Racing Activities,Arts and Recreation Services,Otago,Waitaki,26,25-34,Not a focus area,Animal,,1
2012,12,01DEC2012,Construction,Building Construction,Non-Residential Building Construction,Non-Residential Building Construction,Construction,Auckland,Waitakere,22,15-24,Construction,Falling/Moving Object,,1
2012,12,01DEC2012,Construction,Building Construction,Non-Residential Building Construction,Non-Residential Building Construction,Construction,Auckland,Waitakere,42,35-44,Construction,Falling/Moving Object,,1
2012,12,01DEC2012,Construction,Building Construction,Non-Residential Building Construction,Non-Residential Building Construction,Construction,Auckland,Waitakere,60,55-64,Construction,Falling/Moving Object,,1
2012,12,01DEC2012,"Transport, Postal and Warehousing",Rail Transport,Rail Freight Transport,Rail Freight Transport,"Transport, Postal and Warehousing",Manawatu-Whanganui,Palmerston North,40,35-44,Not a focus area,Vehicles & Machinery,,1
2013,1,01JAN2013,"Agriculture, Forestry and Fishing","Agriculture, Forestry and Fishing Support Services",Agriculture and Fishing Support Services,Other Agriculture and Fishing Support Services,"Agriculture, Forestry and Fishing Support Services",Gisborne,Gisborne,74,65 and over,Agriculture,Vehicles & Machinery,,1
2013,1,01JAN2013,"Agriculture, Forestry and Fishing",Forestry and Logging,Forestry and Logging,Logging,Forestry and Logging,Bay of Plenty,Whakatane,19,15-24,Forestry,Breaking Out,,1
2013,1,01JAN2013,"Agriculture, Forestry and Fishing",Forestry and Logging,Forestry and Logging,Logging,Forestry and Logging,Northland,Whangarei,39,35-44,Forestry,Tree Felling,,1
2013,1,01JAN2013,Construction,Construction Services,Other Construction Services,Other Construction Services n.e.c.,Construction,Auckland,Manukau,47,45-54,Construction,Vehicles & Machinery,,1
2013,1,01JAN2013,Education and Training,Preschool and School Education,School Education,Secondary Education,Education and Training,Bay of Plenty,Opotiki,76,65 and over,Agriculture,Vehicles & Machinery,,1
2013,1,01JAN2013,"Transport, Postal and Warehousing",Transport Support Services,Water Transport Support Services,Port and Water Transport Terminal Operations,"Transport, Postal and Warehousing",Wellington,Wellington,47,45-54,Ports & Marinas,Vehicles & Machinery,,1
2013,2,01FEB2013,"Agriculture, Forestry and Fishing",Agriculture,"Grain, Sheep and Beef Cattle Farming",Sheep-Beef Cattle Farming,Agriculture,Waikato,Waikato,64,55-64,Agriculture,Vehicles & Machinery,,1
2013,2,01FEB2013,"Agriculture, Forestry and Fishing","Agriculture, Forestry and Fishing Support Services",Agriculture and Fishing Support Services,Other Agriculture and Fishing Support Services,"Agriculture, Forestry and Fishing Support Services",Otago,Dunedin,61,55-64,Agriculture,Vehicles & Machinery,,1
2013,2,01FEB2013,"Agriculture, Forestry and Fishing","Agriculture, Forestry and Fishing Support Services",Agriculture and Fishing Support Services,Other Agriculture and Fishing Support Services,"Agriculture, Forestry and Fishing Support Services",Southland,Gore,62,55-64,Agriculture,Vehicles & Machinery,,1
2013,2,01FEB2013,"Agriculture, Forestry and Fishing","Agriculture, Forestry and Fishing Support Services",Agriculture and Fishing Support Services,Other Agriculture and Fishing Support Services,"Agriculture, Forestry and Fishing Support Services",Waikato,Waipa,76,65 and over,Agriculture,Vehicles & Machinery,,1
2013,2,01FEB2013,"Agriculture, Forestry and Fishing",Forestry and Logging,Forestry and Logging,Logging,Forestry and Logging,Waikato,Hauraki,42,35-44,Forestry,Breaking Out,,1
2013,2,01FEB2013,Manufacturing,Non-Metallic Mineral Product Manufacturing,"Cement, Lime, Plaster and Concrete Product Manufacturing",Concrete Product Manufacturing,Manufacturing,Canterbury,Christchurch,47,45-54,Manufacturing,Vehicles & Machinery,,1
2013,2,01FEB2013,"Transport, Postal and Warehousing",Road Transport,Road Freight Transport,Road Freight Transport,"Transport, Postal and Warehousing",Northland,Whangarei,48,45-54,Not a focus area,Vehicles & Machinery,,1
2013,3,01MAR2013,"Agriculture, Forestry and Fishing",Agriculture,Other Crop Growing,Other Crop Growing n.e.c.,Agriculture,Auckland,Franklin,19,15-24,Agriculture,Vehicles & Machinery,,1
2013,3,01MAR2013,"Agriculture, Forestry and Fishing","Agriculture, Forestry and Fishing Support Services",Agriculture and Fishing Support Services,Other Agriculture and Fishing Support Services,"Agriculture, Forestry and Fishing Support Services",Bay of Plenty,Western Bay of Plenty,40,35-44,Agriculture,Vehicles & Machinery,,1
2013,3,01MAR2013,"Agriculture, Forestry and Fishing","Agriculture, Forestry and Fishing Support Services",Agriculture and Fishing Support Services,Other Agriculture and Fishing Support Services,"Agriculture, Forestry and Fishing Support Services",Manawatu-Whanganui,Whanganui,37,35-44,Agriculture,Vehicles & Machinery,,1
2013,3,01MAR2013,"Agriculture, Forestry and Fishing","Agriculture, Forestry and Fishing Support Services",Agriculture and Fishing Support Services,Other Agriculture and Fishing Support Services,"Agriculture, Forestry and Fishing Support Services",Taranaki,New Plymouth,42,35-44,Agriculture,Vehicles & Machinery,,1
2013,3,01MAR2013,"Agriculture, Forestry and Fishing","Agriculture, Forestry and Fishing Support Services",Agriculture and Fishing Support Services,Other Agriculture and Fishing Support Services,"Agriculture, Forestry and Fishing Support Services",Waikato,Taupo,44,35-44,Agriculture,Vehicles & Machinery,Yes,1
2013,3,01MAR2013,"Agriculture, Forestry and Fishing",Forestry and Logging,Forestry and Logging,Logging,Forestry and Logging,Bay of Plenty,Rotorua,23,15-24,Forestry,Log Hauling,,1
2013,3,01MAR2013,Arts and Recreation Services,Sport and Recreation Activities,Amusement and Other Recreation Activities,Amusement and Other Recreation Activities n.e.c.,Arts and Recreation Services,Auckland,Rodney,57,55-64,Adventure Activities,High Wire,,1
2013,3,01MAR2013,Construction,Building Construction,Residential Building Construction,House Construction,Construction,Waikato,Thames-Coromandel,62,55-64,Construction,Fall from height,,1
2013,3,01MAR2013,Construction,Heavy and Civil Engineering Construction,Heavy and Civil Engineering Construction,Road and Bridge Construction,Construction,Waikato,South Waikato,57,55-64,Construction,Sudden Death,,1
2013,3,01MAR2013,Health Care and Social Assistance,Residential Care Services,Residential Care Services,Other Residential Care Services,Health Care and Social Assistance,Hawke's Bay,Napier,55,55-64,Not a focus area,"Fire, heat, explosion (non-HSNO)",,1
2013,3,01MAR2013,"Transport, Postal and Warehousing",Rail Transport,Rail Freight Transport,Rail Freight Transport,"Transport, Postal and Warehousing",Manawatu-Whanganui,Palmerston North,39,35-44,Not a focus area,Vehicles & Machinery,,1
2013,4,01APR2013,"Agriculture, Forestry and Fishing",Forestry and Logging,Forestry and Logging,Logging,Forestry and Logging,Taranaki,New Plymouth,23,15-24,Forestry,Tree Felling,,1
2013,4,01APR2013,Other Services,Repair and Maintenance,Automotive Repair and Maintenance,Other Automotive Repair and Maintenance,Other Services,Canterbury,Christchurch,64,55-64,Manufacturing,Other,,1
2013,5,01MAY2013,"Agriculture, Forestry and Fishing",Agriculture,"Grain, Sheep and Beef Cattle Farming",Sheep-Beef Cattle Farming,Agriculture,Waikato,Otorohanga,31,25-34,Agriculture,Vehicles & Machinery,,1
2013,5,01MAY2013,"Agriculture, Forestry and Fishing",Forestry and Logging,Forestry and Logging,Logging,Forestry and Logging,Otago,Clutha,45,45-54,Forestry,Tree Felling,,1
2013,5,01MAY2013,Construction,Construction Services,Building Structure Services,Structural Steel Erection Services,Construction,Hawke's Bay,Napier,43,35-44,Construction,Falling/Moving Object,,1
2013,6,01JUN2013,"Agriculture, Forestry and Fishing",Agriculture,Dairy Cattle Farming,Dairy Cattle Farming,Agriculture,Southland,Gore,1,14 and under,Agriculture,Bodies of Water,,1
2013,6,01JUN2013,"Agriculture, Forestry and Fishing","Agriculture, Forestry and Fishing Support Services",Agriculture and Fishing Support Services,Other Agriculture and Fishing Support Services,"Agriculture, Forestry and Fishing Support Services",Canterbury,Hurunui,34,25-34,Agriculture,Vehicles & Machinery,,1
2013,6,01JUN2013,"Agriculture, Forestry and Fishing","Agriculture, Forestry and Fishing Support Services",Agriculture and Fishing Support Services,Other Agriculture and Fishing Support Services,"Agriculture, Forestry and Fishing Support Services",Waikato,Matamata-Piako,19,15-24,Agriculture,Vehicles & Machinery,,1
2013,7,01JUL2013,"Agriculture, Forestry and Fishing",Forestry and Logging,Forestry and Logging,Logging,Forestry and Logging,Waikato,South Waikato,45,45-54,Forestry,Vehicles & Machinery,,1
2013,7,01JUL2013,Arts and Recreation Services,Sport and Recreation Activities,Amusement and Other Recreation Activities,Amusement and Other Recreation Activities n.e.c.,Arts and Recreation Services,Manawatu-Whanganui,Ruapehu,18,15-24,Adventure Activities,Snow-based activities,,1
2013,8,01AUG2013,"Agriculture, Forestry and Fishing",Agriculture,Fruit and Tree Nut Growing,Stone Fruit Growing,Agriculture,Bay of Plenty,Opotiki,71,65 and over,Agriculture,Vehicles & Machinery,,1
2013,8,01AUG2013,"Agriculture, Forestry and Fishing","Agriculture, Forestry and Fishing Support Services",Agriculture and Fishing Support Services,Other Agriculture and Fishing Support Services,"Agriculture, Forestry and Fishing Support Services",Hawke's Bay,Central Hawke's Bay,60,55-64,Agriculture,Vehicles & Machinery,,1
2013,8,01AUG2013,"Agriculture, Forestry and Fishing","Agriculture, Forestry and Fishing Support Services",Agriculture and Fishing Support Services,Other Agriculture and Fishing Support Services,"Agriculture, Forestry and Fishing Support Services",Southland,Invercargill,51,45-54,Agriculture,Vehicles & Machinery,,1
2013,8,01AUG2013,Arts and Recreation Services,Sport and Recreation Activities,Amusement and Other Recreation Activities,Amusement and Other Recreation Activities n.e.c.,Arts and Recreation Services,Manawatu-Whanganui,Ruapehu,44,35-44,Adventure Activities,Snow-based activities,,1
2013,8,01AUG2013,Construction,Heavy and Civil Engineering Construction,Heavy and Civil Engineering Construction,Road and Bridge Construction,Construction,Canterbury,Hurunui,36,35-44,Agriculture,Vehicles & Machinery,,1
2013,8,01AUG2013,"Professional, Scientific and Technical Services","Professional, Scientific and Technical Services (except Computer Systems Design and Related Services)","Architectural, Engineering and Technical Services",Engineering Design and Engineering Consulting Services,"Professional, Scientific and Technical Services",Tasman,Tasman,55,55-64,Not a focus area,Vehicles & Machinery,,1
2013,8,01AUG2013,"Transport, Postal and Warehousing",Road Transport,Road Freight Transport,Road Freight Transport,"Transport, Postal and Warehousing",Bay of Plenty,Tauranga,70,65 and over,Not a focus area,Vehicles & Machinery,,1
2013,9,01SEP2013,"Agriculture, Forestry and Fishing","Agriculture, Forestry and Fishing Support Services",Agriculture and Fishing Support Services,Other Agriculture and Fishing Support Services,"Agriculture, Forestry and Fishing Support Services",Gisborne,Gisborne,2,14 and under,Agriculture,Vehicles & Machinery,,1
2013,10,01OCT2013,Accommodation and Food Services,Accommodation,Accommodation,Accommodation,Accommodation and Food Services,Hawke's Bay,Napier,81,65 and over,Not a focus area,Bodies of Water,,1
2013,10,01OCT2013,"Agriculture, Forestry and Fishing",Agriculture,"Grain, Sheep and Beef Cattle Farming",Sheep-Beef Cattle Farming,Agriculture,Wellington,Masterton,68,65 and over,Agriculture,Vehicles & Machinery,Yes,1
2013,10,01OCT2013,"Agriculture, Forestry and Fishing","Agriculture, Forestry and Fishing Support Services",Agriculture and Fishing Support Services,Other Agriculture and Fishing Support Services,"Agriculture, Forestry and Fishing Support Services",Northland,Far North,67,65 and over,Agriculture,Vehicles & Machinery,,1
2013,10,01OCT2013,"Agriculture, Forestry and Fishing","Agriculture, Forestry and Fishing Support Services",Agriculture and Fishing Support Services,Other Agriculture and Fishing Support Services,"Agriculture, Forestry and Fishing Support Services",Waikato,Waikato,12,14 and under,Agriculture,Vehicles & Machinery,Yes,1
2013,10,01OCT2013,Public Administration and Safety,Public Administration,Local Government Administration,Local Government Administration,Public Administration and Safety,Hawke's Bay,Hastings,4,14 and under,Not a focus area,Vehicles & Machinery,,1
2013,10,01OCT2013,Public Administration and Safety,"Public Order, Safety and Regulatory Services",Regulatory Services,Regulatory Services,Public Administration and Safety,Manawatu-Whanganui,Palmerston North,61,55-64,Not a focus area,Vehicles & Machinery,,1
2013,10,01OCT2013,"Transport, Postal and Warehousing",Road Transport,Road Freight Transport,Road Freight Transport,"Transport, Postal and Warehousing",Waikato,South Waikato,55,55-64,Not a focus area,Vehicles & Machinery,,1
2013,11,01NOV2013,"Agriculture, Forestry and Fishing",Forestry and Logging,Forestry and Logging,Logging,Forestry and Logging,Bay of Plenty,Rotorua,63,55-64,Forestry,Tree Felling,,1
2013,11,01NOV2013,"Agriculture, Forestry and Fishing",Forestry and Logging,Forestry and Logging,Logging,Forestry and Logging,Nelson,Nelson,28,25-34,Forestry,Breaking Out,,1
2013,11,01NOV2013,Health Care and Social Assistance,Social Assistance Services,Child Care Services,Child Care Services,Health Care and Social Assistance,Auckland,Waitakere,1,14 and under,Not a focus area,Fall from height,,1
2013,11,01NOV2013,Retail Trade,Other Store-Based Retailing,Recreational Goods Retailing,Toy and Game Retailing,Retail Trade,Auckland,Auckland,74,65 and over,Not a focus area,Fall from height,,1
2013,11,01NOV2013,"Transport, Postal and Warehousing",Transport Support Services,Water Transport Support Services,Port and Water Transport Terminal Operations,"Transport, Postal and Warehousing",Canterbury,Christchurch,58,55-64,Ports & Marinas,Vehicles & Machinery,,1
2013,12,01DEC2013,"Agriculture, Forestry and Fishing",Agriculture,Fruit and Tree Nut Growing,Apple and Pear Growing,Agriculture,Hawke's Bay,Hastings,17,15-24,Agriculture,Vehicles & Machinery,,1
2013,12,01DEC2013,"Agriculture, Forestry and Fishing",Forestry and Logging,Forestry and Logging,Logging,Forestry and Logging,Manawatu-Whanganui,Horowhenua,20,15-24,Forestry,Tree Felling,,1
